county,age_group,census_2010,proj_2020,pct_change_2020,proj_2030,pct_change_2030
VERMONT,<5,31952,30854,-3.4,30065,-5.9
VERMONT,5-9,34654,32843,-5.2,33318,-3.9
VERMONT,10-14,37637,35160,-6.6,33948,-9.8
VERMONT,15-19,46012,37972,-17.5,35990,-21.8
VERMONT,20-24,43851,37585,-14.3,35121,-19.9
VERMONT,25-29,35441,37776,6.6,31187,-12.0
VERMONT,30-34,34181,40774,19.3,34959,2.3
VERMONT,35-39,36358,38681,6.4,41240,13.4
VERMONT,40-44,42001,35942,-14.4,42893,2.1
VERMONT,45-49,50110,37227,-25.7,39633,-20.9
VERMONT,50-54,52493,42566,-18.9,36466,-30.5
VERMONT,55-59,48739,50796,4.2,37839,-22.4
VERMONT,60-64,41234,53183,29.0,43349,5.1
VERMONT,65-69,29390,47672,62.2,50168,70.7
VERMONT,70-74,20148,38677,92.0,50579,151.0
VERMONT,75-79,15960,24908,56.1,40910,156.3
VERMONT,80-84,12783,14802,15.8,28701,124.5
VERMONT,85+,12797,16157,26.3,23707,85.3
VERMONT,Total,625741,653575,4.4,670073,7.1
ADDISON,<5,1772,1416,-20.1,1287,-27.4
ADDISON,5-9,1923,1574,-18.1,1499,-22.0
ADDISON,10-14,2246,1903,-15.3,1506,-32.9
ADDISON,15-19,3286,2576,-21.6,2101,-36.1
ADDISON,20-24,3069,2745,-10.6,2325,-24.2
ADDISON,25-29,1624,1853,14.1,1447,-10.9
ADDISON,30-34,1778,2380,33.9,2134,20.0
ADDISON,35-39,2051,1867,-9.0,2131,3.9
ADDISON,40-44,2508,1853,-26.1,2486,-0.9
ADDISON,45-49,2968,2121,-28.5,1936,-34.8
ADDISON,50-54,3057,2481,-18.8,1835,-40.0
ADDISON,55-59,2932,2970,1.3,2129,-27.4
ADDISON,60-64,2505,3196,27.6,2607,4.1
ADDISON,65-69,1703,2816,65.4,2877,68.9
ADDISON,70-74,1123,2355,109.7,3046,171.2
ADDISON,75-79,849,1411,66.2,2359,177.9
ADDISON,80-84,704,808,14.8,1710,142.9
ADDISON,85+,723,873,20.7,1315,81.9
ADDISON,Total,36821,37198,1.0,36730,-0.2
BENNINGTON,<5,1877,1861,-0.9,1642,-12.5
BENNINGTON,5-9,1990,1972,-0.9,1869,-6.1
BENNINGTON,10-14,2147,1964,-8.5,1932,-10.0
BENNINGTON,15-19,2678,1929,-28.0,1905,-28.9
BENNINGTON,20-24,2133,1697,-20.4,1551,-27.3
BENNINGTON,25-29,1751,1924,9.9,1380,-21.2
BENNINGTON,30-34,1641,1914,16.6,1526,-7.0
BENNINGTON,35-39,1872,1868,-0.2,2054,9.7
BENNINGTON,40-44,2410,1718,-28.7,2007,-16.7
BENNINGTON,45-49,2942,1922,-34.7,1922,-34.7
BENNINGTON,50-54,3099,2526,-18.5,1802,-41.9
BENNINGTON,55-59,2922,3112,6.5,2040,-30.2
BENNINGTON,60-64,2668,3282,23.0,2687,0.7
BENNINGTON,65-69,2065,3054,47.9,3279,58.8
BENNINGTON,70-74,1497,2761,84.4,3444,130.1
BENNINGTON,75-79,1293,1734,34.1,2596,100.8
BENNINGTON,80-84,1075,1135,5.6,2114,96.7
BENNINGTON,85+,1065,1322,24.1,1720,61.5
BENNINGTON,Total,37125,37695,1.5,37470,0.9
CALEDONIA,<5,1727,1581,-8.5,1434,-17.0
CALEDONIA,5-9,1843,1622,-12.0,1614,-12.4
CALEDONIA,10-14,1894,1999,5.5,1847,-2.5
CALEDONIA,15-19,2404,2016,-16.1,1768,-26.5
CALEDONIA,20-24,1957,1438,-26.5,1517,-22.5
CALEDONIA,25-29,1588,1676,5.5,1399,-11.9
CALEDONIA,30-34,1627,1887,16.0,1391,-14.5
CALEDONIA,35-39,1810,1752,-3.2,1850,2.2
CALEDONIA,40-44,1875,1769,-5.7,2056,9.7
CALEDONIA,45-49,2390,1980,-17.2,1920,-19.7
CALEDONIA,50-54,2501,1949,-22.1,1840,-26.4
CALEDONIA,55-59,2654,2401,-9.5,1996,-24.8
CALEDONIA,60-64,2164,2622,21.2,2053,-5.1
CALEDONIA,65-69,1504,2587,72.0,2361,57.0
CALEDONIA,70-74,1039,2110,103.1,2591,149.4
CALEDONIA,75-79,829,1335,61.0,2318,179.6
CALEDONIA,80-84,724,769,6.2,1579,118.1
CALEDONIA,85+,697,843,20.9,1218,74.7
CALEDONIA,Total,31227,32336,3.6,32752,4.9
CHITTENDEN,<5,7877,8308,5.5,7660,-2.8
CHITTENDEN,5-9,8479,8701,2.6,8006,-5.6
CHITTENDEN,10-14,8958,8392,-6.3,8585,-4.2
CHITTENDEN,15-19,13714,11233,-18.1,11484,-16.3
CHITTENDEN,20-24,16462,14700,-10.7,13763,-16.4
CHITTENDEN,25-29,11061,12432,12.4,10140,-8.3
CHITTENDEN,30-34,9551,12102,26.7,10836,13.5
CHITTENDEN,35-39,9291,11218,20.7,12616,35.8
CHITTENDEN,40-44,10608,9711,-8.5,12329,16.2
CHITTENDEN,45-49,11956,9230,-22.8,11168,-6.6
CHITTENDEN,50-54,12340,10045,-18.6,9205,-25.4
CHITTENDEN,55-59,10343,10952,5.9,8483,-18.0
CHITTENDEN,60-64,8220,10909,32.7,8922,8.5
CHITTENDEN,65-69,5609,9115,62.5,9732,73.5
CHITTENDEN,70-74,3823,7379,93.0,9925,159.6
CHITTENDEN,75-79,3099,4805,55.1,7904,155.1
CHITTENDEN,80-84,2563,3006,17.3,5870,129.0
CHITTENDEN,85+,2591,3452,33.2,5090,96.4
CHITTENDEN,Total,156545,165690,5.8,171718,9.7
ESSEX,<5,254,186,-26.8,187,-26.4
ESSEX,5-9,306,247,-19.3,276,-9.8
ESSEX,10-14,380,309,-18.7,231,-39.2
ESSEX,15-19,378,286,-24.3,230,-39.2
ESSEX,20-24,278,198,-28.8,160,-42.4
ESSEX,25-29,258,266,3.1,200,-22.5
ESSEX,30-34,267,408,52.8,290,8.6
ESSEX,35-39,352,302,-14.2,311,-11.6
ESSEX,40-44,437,261,-40.3,400,-8.5
ESSEX,45-49,515,349,-32.2,300,-41.7
ESSEX,50-54,582,412,-29.2,247,-57.6
ESSEX,55-59,557,509,-8.6,346,-37.9
ESSEX,60-64,522,588,12.6,418,-19.9
ESSEX,65-69,421,507,20.4,467,10.9
ESSEX,70-74,281,466,65.8,532,89.3
ESSEX,75-79,242,308,27.3,375,55.0
ESSEX,80-84,161,173,7.5,290,80.1
ESSEX,85+,115,174,51.3,229,99.1
