county,age_group,census_2010,proj_2020,pct_change_2020,proj_2030,pct_change_2030
VERMONT,<5,31952,29478,-7.7,27844,-12.9
VERMONT,5-9,34654,31532,-9.0,31184,-10.0
VERMONT,10-14,37637,35328,-6.1,32711,-13.1
VERMONT,15-19,46012,38773,-15.7,35282,-23.3
VERMONT,20-24,43851,36381,-17.0,34158,-22.1
VERMONT,25-29,35441,35576,0.4,29991,-15.4
VERMONT,30-34,34181,39619,15.9,32882,-3.8
VERMONT,35-39,36358,37700,3.7,37854,4.1
VERMONT,40-44,42001,35561,-15.3,41237,-1.8
VERMONT,45-49,50110,36934,-26.3,38325,-23.5
VERMONT,50-54,52493,42060,-19.9,35650,-32.1
VERMONT,55-59,48739,48945,0.4,36174,-25.8
VERMONT,60-64,41234,49902,21.0,40192,-2.5
VERMONT,65-69,29390,44530,51.5,45157,53.6
VERMONT,70-74,20148,34891,73.2,42820,112.5
VERMONT,75-79,15960,22725,42.4,34869,118.5
VERMONT,80-84,12783,13503,5.6,23623,84.8
VERMONT,85+,12797,15250,19.2,20527,60.4
VERMONT,Total,625741,628688,0.5,620480,-0.8
ADDISON,<5,1772,1358,-23.4,1140,-35.7
ADDISON,5-9,1923,1467,-23.7,1354,-29.6
ADDISON,10-14,2246,1930,-14.1,1499,-33.3
ADDISON,15-19,3286,2486,-24.3,1891,-42.5
ADDISON,20-24,3069,2588,-15.7,2229,-27.4
ADDISON,25-29,1624,1528,-5.9,1153,-29.0
ADDISON,30-34,1778,1927,8.4,1630,-8.3
ADDISON,35-39,2051,1971,-3.9,1872,-8.7
ADDISON,40-44,2508,1954,-22.1,2124,-15.3
ADDISON,45-49,2968,2200,-25.9,2118,-28.6
ADDISON,50-54,3057,2600,-14.9,2029,-33.6
ADDISON,55-59,2932,2907,-0.9,2161,-26.3
ADDISON,60-64,2505,3002,19.8,2568,2.5
ADDISON,65-69,1703,2709,59.1,2716,59.5
ADDISON,70-74,1123,2197,95.6,2672,137.9
ADDISON,75-79,849,1363,60.5,2192,158.2
ADDISON,80-84,704,759,7.8,1497,112.6
ADDISON,85+,723,874,20.9,1268,75.4
ADDISON,Total,36821,35820,-2.7,34113,-7.4
BENNINGTON,<5,1877,1631,-13.1,1366,-27.2
BENNINGTON,5-9,1990,1852,-6.9,1689,-15.1
BENNINGTON,10-14,2147,2091,-2.6,1826,-15.0
BENNINGTON,15-19,2678,2185,-18.4,2028,-24.3
BENNINGTON,20-24,2133,1654,-22.5,1615,-24.3
BENNINGTON,25-29,1751,1779,1.6,1448,-17.3
BENNINGTON,30-34,1641,1867,13.8,1452,-11.5
BENNINGTON,35-39,1872,1864,-0.4,1911,2.1
BENNINGTON,40-44,2410,1847,-23.4,2108,-12.5
BENNINGTON,45-49,2942,1977,-32.8,1971,-33.0
BENNINGTON,50-54,3099,2475,-20.1,1900,-38.7
BENNINGTON,55-59,2922,2966,1.5,1999,-31.6
BENNINGTON,60-64,2668,3098,16.1,2488,-6.7
BENNINGTON,65-69,2065,2820,36.6,2895,40.2
BENNINGTON,70-74,1497,2340,56.3,2760,84.4
BENNINGTON,75-79,1293,1709,32.2,2365,82.9
BENNINGTON,80-84,1075,989,-8.0,1560,45.1
BENNINGTON,85+,1065,1326,24.5,1653,55.2
BENNINGTON,Total,37125,36470,-1.8,35034,-5.6
CALEDONIA,<5,1727,1576,-8.7,1464,-15.2
CALEDONIA,5-9,1843,1652,-10.4,1686,-8.5
CALEDONIA,10-14,1894,2002,5.7,1849,-2.4
CALEDONIA,15-19,2404,2213,-7.9,1978,-17.7
CALEDONIA,20-24,1957,1522,-22.2,1613,-17.6
CALEDONIA,25-29,1588,1576,-0.8,1447,-8.9
CALEDONIA,30-34,1627,1916,17.8,1496,-8.1
CALEDONIA,35-39,1810,1875,3.6,1878,3.8
CALEDONIA,40-44,1875,1760,-6.1,2079,10.9
CALEDONIA,45-49,2390,1978,-17.2,2052,-14.1
CALEDONIA,50-54,2501,2000,-20.0,1880,-24.8
CALEDONIA,55-59,2654,2505,-5.6,2080,-21.6
CALEDONIA,60-64,2164,2451,13.3,1972,-8.9
CALEDONIA,65-69,1504,2616,73.9,2498,66.1
CALEDONIA,70-74,1039,1906,83.4,2191,110.9
CALEDONIA,75-79,829,1200,44.8,2108,154.3
CALEDONIA,80-84,724,684,-5.5,1267,75.0
CALEDONIA,85+,697,767,10.0,996,42.9
CALEDONIA,Total,31227,32199,3.1,32534,4.2
CHITTENDEN,<5,7877,8293,5.3,7431,-5.7
CHITTENDEN,5-9,8479,8171,-3.6,7153,-15.6
CHITTENDEN,10-14,8958,8295,-7.4,8395,-6.3
CHITTENDEN,15-19,13714,11572,-15.6,11119,-18.9
CHITTENDEN,20-24,16462,14236,-13.5,13215,-19.7
CHITTENDEN,25-29,11061,12688,14.7,10675,-3.5
CHITTENDEN,30-34,9551,11992,25.6,10405,8.9
CHITTENDEN,35-39,9291,10043,8.1,11627,25.1
CHITTENDEN,40-44,10608,9273,-12.6,11678,10.1
CHITTENDEN,45-49,11956,8771,-26.6,9497,-20.6
CHITTENDEN,50-54,12340,10046,-18.6,8796,-28.7
CHITTENDEN,55-59,10343,10998,6.3,8093,-21.8
CHITTENDEN,60-64,8220,10872,32.3,8901,8.3
CHITTENDEN,65-69,5609,8910,58.9,9578,70.8
CHITTENDEN,70-74,3823,6812,78.2,9143,139.2
CHITTENDEN,75-79,3099,4505,45.4,7247,133.8
CHITTENDEN,80-84,2563,2851,11.2,5133,100.3
CHITTENDEN,85+,2591,3484,34.5,4881,88.4
CHITTENDEN,Total,156545,161812,3.4,162967,4.1
ESSEX,<5,254,142,-44.1,111,-56.3
ESSEX,5-9,306,194,-36.6,181,-40.8
ESSEX,10-14,380,276,-27.4,162,-57.4
ESSEX,15-19,378,250,-33.9,158,-58.2
ESSEX,20-24,278,191,-31.3,139,-50.0
ESSEX,25-29,258,210,-18.6,138,-46.5
ESSEX,30-34,267,279,4.5,193,-27.7
