county,town,census_2010,proj_2020,pct_change_2020,proj_2030,pct_change_2030
ADDISON,ADDISON,1371,1391,1.5,1356,-1.1
ADDISON,BRIDPORT,1218,1158,-4.9,1084,-11.0
ADDISON,BRISTOL,3894,3706,-4.8,3480,-10.6
ADDISON,CORNWALL,1185,1143,-3.5,1083,-8.6
ADDISON,FERRISBURGH,2775,2754,-0.8,2656,-4.3
ADDISON,GOSHEN,164,132,-19.5,111,-32.3
ADDISON,GRANVILLE,298,276,-7.4,254,-14.8
ADDISON,HANCOCK,323,289,-10.5,258,-20.1
ADDISON,LEICESTER,1100,1128,2.5,1116,1.5
ADDISON,LINCOLN,1271,1293,1.7,1266,-0.4
ADDISON,MIDDLEBURY,8496,8151,-4.1,7695,-9.4
ADDISON,MONKTON,1980,2060,4.0,2054,3.7
ADDISON,NEW HAVEN,1727,1734,0.4,1684,-2.5
ADDISON,ORWELL,1250,1222,-2.2,1169,-6.5
ADDISON,PANTON,677,652,-3.7,616,-9.0
ADDISON,RIPTON,588,602,2.4,592,0.7
ADDISON,SALISBURY,1136,1104,-2.8,1051,-7.5
ADDISON,SHOREHAM,1265,1235,-2.4,1178,-6.9
ADDISON,STARKSBORO,1777,1719,-3.3,1623,-8.7
ADDISON,VERGENNES,2588,2395,-7.5,2201,-15.0
ADDISON,WALTHAM,486,465,-4.3,438,-9.9
ADDISON,WEYBRIDGE,833,805,-3.4,761,-8.6
ADDISON,WHITING,419,406,-3.1,387,-7.6
BENNINGTON,ARLINGTON,2317,2233,-3.6,2114,-8.8
BENNINGTON,BENNINGTON,15764,15132,-4.0,14318,-9.2
BENNINGTON,DORSET,2031,1997,-1.7,1918,-5.6
BENNINGTON,LANDGROVE,158,164,3.8,163,3.2
BENNINGTON,MANCHESTER,4391,4529,3.1,4490,2.3
BENNINGTON,PERU,375,372,-0.8,357,-4.8
BENNINGTON,POWNAL,3527,3423,-2.9,3258,-7.6
BENNINGTON,READSBORO,763,731,-4.2,689,-9.7
BENNINGTON,RUPERT,714,711,-0.4,688,-3.6
BENNINGTON,SANDGATE,405,448,10.6,467,15.3
BENNINGTON,SEARSBURG,109,116,6.4,118,8.3
BENNINGTON,SHAFTSBURY,3590,3503,-2.4,3339,-7.0
BENNINGTON,STAMFORD,824,815,-1.1,786,-4.6
BENNINGTON,SUNDERLAND,956,979,2.4,970,1.5
BENNINGTON,WINHALL,769,867,12.7,911,18.5
BENNINGTON,WOODFORD,424,442,4.2,440,3.8
BENNINGTON,GLASTENBURY,8,8,0.0,8,0.0
CALEDONIA,BARNET,1708,1772,3.7,1790,4.8
CALEDONIA,BURKE,1753,1875,7.0,1941,10.7
CALEDONIA,DANVILLE,2196,2237,1.9,2233,1.7
CALEDONIA,GROTON,1022,1093,6.9,1134,11.0
CALEDONIA,HARDWICK,3010,2940,-2.3,2854,-5.2
CALEDONIA,KIRBY,493,543,10.1,571,15.8
CALEDONIA,LYNDON,5981,6196,3.6,6280,5.0
CALEDONIA,NEWARK,581,685,17.9,759,30.6
CALEDONIA,PEACHAM,732,767,4.8,784,7.1
CALEDONIA,RYEGATE,1174,1193,1.6,1190,1.4
CALEDONIA,SHEFFIELD,703,740,5.3,753,7.1
CALEDONIA,SAINT JOHNSBURY,7603,7493,-1.4,7335,-3.5
CALEDONIA,STANNARD,216,243,12.5,261,20.8
CALEDONIA,SUTTON,1029,1070,4.0,1084,5.3
CALEDONIA,WALDEN,935,1036,10.8,1099,17.5
CALEDONIA,WATERFORD,1280,1337,4.5,1367,6.8
CALEDONIA,WHEELOCK,811,977,20.5,1099,35.5
CHITTENDEN,BOLTON,1182,1269,7.4,1315,11.3
CHITTENDEN,BURLINGTON,42417,42617,0.5,42095,-0.8
CHITTENDEN,CHARLOTTE,3754,3852,2.6,3852,2.6
CHITTENDEN,COLCHESTER,17067,17206,0.8,16981,-0.5
CHITTENDEN,ESSEX,19587,20074,2.5,20057,2.4
CHITTENDEN,HINESBURG,4396,4444,1.1,4395,0.0
CHITTENDEN,HUNTINGTON,1938,1990,2.7,1989,2.6
CHITTENDEN,JERICHO,5009,5051,0.8,4984,-0.5
CHITTENDEN,MILTON,10352,10808,4.4,10945,5.7
CHITTENDEN,RICHMOND,4081,4045,-0.9,3950,-3.2
CHITTENDEN,SHELBURNE,7144,7336,2.7,7330,2.6
CHITTENDEN,SOUTH BURLINGTON,17904,19791,10.5,20874,16.6
CHITTENDEN,SAINT GEORGE,674,640,-5.0,608,-9.8
CHITTENDEN,UNDERHILL,3016,2987,-1.0,2917,-3.3
CHITTENDEN,WESTFORD,2029,2037,0.4,2001,-1.4
CHITTENDEN,WILLISTON,8698,10183,17.1,11107,27.7
CHITTENDEN,WINOOSKI,7267,7395,1.8,7377,1.5
CHITTENDEN,BUELS GORE,30,87,190.0,190,533.3
ESSEX,BLOOMFIELD,221,193,-12.7,166,-24.9
ESSEX,BRIGHTON,1222,1074,-12.1,930,-23.9
ESSEX,BRUNSWICK,112,112,0.0,106,-5.4
ESSEX,CANAAN,972,858,-11.7,743,-23.6
ESSEX,CONCORD,1235,1204,-2.5,1114,-9.8
ESSEX,EAST HAVEN,290,275,-5.2,250,-13.8
ESSEX,GRANBY,88,84,-4.5,77,-12.5
ESSEX,GUILDHALL,261,241,-7.7,216,-17.2
ESSEX,LEMINGTON,104,98,-5.8,88,-15.4
ESSEX,LUNENBURG,1302,1253,-3.8,1149,-11.8
ESSEX,MAIDSTONE,208,283,36.1,339,63.0
ESSEX,NORTON,169,153,-9.5,133,-21.3
ESSEX,VICTORY,62,61,-1.6,56,-9.7
ESSEX,AVERILL,24,46,91.7,73,204.2
ESSEX,AVERY'S GORE,0,0,0.0,0,0.0
ESSEX,FERDINAND,32,33,3.1,32,0.0
